,petal_width,petal_length,class,type,predicted
0,0.0,0.0,,boundary,Iris-setosa
1,0.0,0.14,,boundary,Iris-setosa
2,0.0,0.28,,boundary,Iris-setosa
3,0.0,0.41,,boundary,Iris-setosa
4,0.0,0.55,,boundary,Iris-setosa
5,0.0,0.69,,boundary,Iris-setosa
6,0.0,0.83,,boundary,Iris-setosa
7,0.0,0.97,,boundary,Iris-setosa
8,0.0,1.1,,boundary,Iris-setosa
9,0.0,1.24,,boundary,Iris-setosa
10,0.0,1.38,,boundary,Iris-setosa
11,0.0,1.52,,boundary,Iris-setosa
12,0.0,1.66,,boundary,Iris-setosa
13,0.0,1.79,,boundary,Iris-setosa
14,0.0,1.93,,boundary,Iris-setosa
15,0.0,2.07,,boundary,Iris-setosa
16,0.0,2.21,,boundary,Iris-setosa
17,0.0,2.35,,boundary,Iris-setosa
18,0.0,2.48,,boundary,Iris-setosa
19,0.0,2.62,,boundary,Iris-setosa
20,0.0,2.76,,boundary,Iris-setosa
21,0.0,2.9,,boundary,Iris-setosa
22,0.0,3.04,,boundary,Iris-setosa
23,0.0,3.17,,boundary,Iris-setosa
24,0.0,3.31,,boundary,Iris-versicolor
25,0.0,3.45,,boundary,Iris-versicolor
26,0.0,3.59,,boundary,Iris-versicolor
27,0.0,3.73,,boundary,Iris-versicolor
28,0.0,3.86,,boundary,Iris-versicolor
29,0.0,4.0,,boundary,Iris-versicolor
30,0.0,4.14,,boundary,Iris-versicolor
31,0.0,4.28,,boundary,Iris-versicolor
32,0.0,4.42,,boundary,Iris-versicolor
33,0.0,4.55,,boundary,Iris-versicolor
34,0.0,4.69,,boundary,Iris-versicolor
35,0.0,4.83,,boundary,Iris-versicolor
36,0.0,4.97,,boundary,Iris-versicolor
37,0.0,5.11,,boundary,Iris-versicolor
38,0.0,5.24,,boundary,Iris-versicolor
39,0.0,5.38,,boundary,Iris-versicolor
40,0.0,5.52,,boundary,Iris-versicolor
41,0.0,5.66,,boundary,Iris-versicolor
42,0.0,5.8,,boundary,Iris-versicolor
43,0.0,5.93,,boundary,Iris-versicolor
44,0.0,6.07,,boundary,Iris-virginica
45,0.0,6.21,,boundary,Iris-virginica
46,0.0,6.35,,boundary,Iris-virginica
47,0.0,6.49,,boundary,Iris-virginica
48,0.0,6.62,,boundary,Iris-virginica
49,0.0,6.76,,boundary,Iris-virginica
50,0.0,6.9,,boundary,Iris-virginica
51,0.05,0.0,,boundary,Iris-setosa
52,0.05,0.14,,boundary,Iris-setosa
53,0.05,0.28,,boundary,Iris-setosa
54,0.05,0.41,,boundary,Iris-setosa
55,0.05,0.55,,boundary,Iris-setosa
56,0.05,0.69,,boundary,Iris-setosa
57,0.05,0.83,,boundary,Iris-setosa
58,0.05,0.97,,boundary,Iris-setosa
